Title,Registered,Fuel,Kms,Price,Image_URL,Sold_Status,URL
2021/23 AUDI Q7 55 TFSI PREMIUM PLUS,2023,Petrol,37000,"₹ 56,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2021-audi-a6-45-tfsi-premium-plus-2/
2025 RANGE ROVER VELAR DYN HSE,2025,Petrol,19000,"₹ 84,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2023-land-rover-defender-2-0-hse-110-3/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2024-25-mercedes-benz-e200/
2023 TOYOTA FORTUNER LEGENDER 4*2 AUTO,2023,Diesel,52000,"₹ 38,50,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2024-25-toyota-vellfire-vip-executive-lounge/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2021-mercedes-benz-gle-300d-4matic-lwb/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2024-mercedes-benz-gle-450d-4matic-lwb/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2019-25-mercedes-benz-amg-gt63-s/
2024/25 BMW X5 40I M SPORTS,2025,Petrol,13000,"₹ 90,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2024-25-bmw-m340i-xdrive-2/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2018-19-mercedes-benz-cla-200-sports-5/
2011/15 BENTLEY CONTINENTAL GT W12,2015,Petrol,29000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2025-bmw-x5-40i-m-sport/
2021/23 AUDI Q7 55 TFSI PREMIUM PLUS,2023,Petrol,37000,"₹ 56,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2023-audi-q3-40-tfsi-premium-plus/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2020-21-mercedes-benz-g350d-2/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2024-mercedes-benz-c-220d/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2023-mercedes-benz-e-200-2/
