Title,Link,Location,Price,Information,Image,Brand
Mercedes-Benz C-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-c-class-in-greater-kailash-1-delhi-iid-1836252370?rank=32,Greater Kailash 1,"₹ 21,90,000","2019 - 48,000 km",https://apollo.olx.in:443/v1/files/q70eyhbj8nwp-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Fortuner,https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-karol-bagh-delhi-iid-1835678822?rank=33,Karol BaghToday,"₹ 31,50,000","2022 - 35,000 km",https://apollo.olx.in:443/v1/files/fgcusojrhnqq-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Venue,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-swargate-pune-iid-1835493873?rank=34,SwargateToday,"₹ 11,49,000","2023 - 13,487 km",https://apollo.olx.in:443/v1/files/9pt9hznocoi92-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Ertiga,https://www.olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-ghatkopar-east-mumbai-iid-1835121075?rank=35,Ghatkopar EastToday,"₹ 5,25,000","2015 - 69,000 km",https://apollo.olx.in:443/v1/files/sfhn6j0ya7bf1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Ciaz,https://www.olx.in/item/cars-c84-used-maruti-suzuki-ciaz-in-bandra-west-mumbai-iid-1835120786?rank=36,Bandra WestToday,"₹ 5,89,000","2017 - 69,315 km",https://apollo.olx.in:443/v1/files/1647mdya7f3t-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Grand Vitara,https://www.olx.in/item/cars-c84-used-maruti-suzuki-grand-vitara-in-karkar-duma-delhi-iid-1835120152?rank=37,Karkar Duma,"₹ 12,75,000","2024 - 12,000 km",https://apollo.olx.in:443/v1/files/bf8uxctflhvm2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Venue,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-bandra-west-mumbai-iid-1835119695?rank=38,Bandra WestToday,"₹ 10,99,000","2023 - 13,502 km",https://apollo.olx.in:443/v1/files/ilek7018povf-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Dzire,https://www.olx.in/item/cars-c84-used-maruti-suzuki-dzire-in-pitampura-delhi-iid-1835033560?rank=39,Pitampura,"₹ 9,65,000","2025 - 8,800 km",https://apollo.olx.in:443/v1/files/i4y0bgrj3ig42-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Kia Carnival,https://www.olx.in/item/cars-c84-used-kia-carnival-in-bandra-west-mumbai-iid-1835493996?rank=0,Bandra WestToday,"₹ 20,45,000","2020 - 105,110 km",https://apollo.olx.in:443/v1/files/tijqb7yiwyho1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Kia Carens,https://www.olx.in/item/cars-c84-used-kia-carens-in-dahisar-west-mumbai-iid-1835493669?rank=1,Dahisar WestToday,"₹ 10,55,000","2024 - 63,110 km",https://apollo.olx.in:443/v1/files/qx0m47zwzego1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-swargate-pune-iid-1834765219?rank=2,Swargate,"₹ 2,35,000","2010 - 81,400 km",https://apollo.olx.in:443/v1/files/tekvcsglbhig3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-palghar-industrial-area-palghar-iid-1834670680?rank=3,Palghar Industrial Area,"₹ 10,50,000","2020 - 21,525 km",https://apollo.olx.in:443/v1/files/7nsy4iksx5o22-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi A4,https://www.olx.in/item/cars-c84-used-audi-a4-in-angamaly-kerala-iid-1828659263?rank=4,AngamalyToday,"₹ 7,75,000","2010 - 128,000 km",https://apollo.olx.in:443/v1/files/lgmv7ui0mrqi-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Camry,https://www.olx.in/item/cars-c84-used-toyota-camry-in-kannur-distirct-hospital-kannur-iid-1807272691?rank=5,Kannur Distirct HospitalToday,"₹ 19,90,000","2018 - 79,000 km",https://apollo.olx.in:443/v1/files/ldo50inyqbcl3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
BMW X3,https://www.olx.in/item/cars-c84-used-bmw-x3-in-panampilly-nagar-kochi-iid-1804299862?rank=6,Panampilly NagarToday,"₹ 55,00,000","2019 - 55,000 km",https://apollo.olx.in:443/v1/files/b3mtcj8k5kt71-ADVIN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Grand i10,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-mayur-vihar-delhi-iid-1836264506?rank=7,Mayur ViharToday,"₹ 3,69,000","2018 - 54,000 km",https://apollo.olx.in:443/v1/files/0u2aelwasil31-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
